Object,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,E-MaStar,E-MaStar,Conroy,Conroy
NGC6293_2015-08-11,6.056e+00 $\pm$ 1.290e-01,-1.775e+00 $\pm$ 2.757e-01,6.090e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,5.743e+00 $\pm$ 1.343e+00,-2.029e+00 $\pm$ 0.000e+00,1.928e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,1.060e+00 $\pm$ 8.000e-01,-1.466e+00 $\pm$ 2.056e-01
NGC6304_2015-04-14,3.820e+00 $\pm$ 0.000e+00,-2.184e-01 $\pm$ 0.000e+00,2.971e+00 $\pm$ 0.000e+00,-6.928e-01 $\pm$ 0.000e+00,1.285e+01 $\pm$ 6.065e+00,-6.928e-01 $\pm$ 4.353e-01,4.766e+00 $\pm$ 1.247e+00,-5.455e-01 $\pm$ 2.115e-01,9.180e+00 $\pm$ 2.400e-01,-5.254e-01 $\pm$ 7.605e-03
NGC6304_2015-08-08,3.820e+00 $\pm$ 3.354e+00,-9.376e-02 $\pm$ 1.696e-01,8.913e-01 $\pm$ 0.000e+00,-6.771e-01 $\pm$ 0.000e+00,1.298e+01 $\pm$ 6.802e+00,-9.742e-01 $\pm$ 0.000e+00,2.874e+00 $\pm$ 6.020e-01,-5.570e-01 $\pm$ 4.552e-01,6.980e+00 $\pm$ 0.000e+00,-3.099e-01 $\pm$ 0.000e+00
NGC6316_2016-04-02,1.242e+01 $\pm$ 8.600e-02,-6.333e-01 $\pm$ 9.897e-02,8.913e-01 $\pm$ 0.000e+00,-6.771e-01 $\pm$ 0.000e+00,5.007e+00 $\pm$ 0.000e+00,-9.742e-01 $\pm$ 0.000e+00,7.862e+00 $\pm$ 6.020e-01,-7.259e-01 $\pm$ 9.257e-02,5.940e+00 $\pm$ 0.000e+00,-5.033e-01 $\pm$ 0.000e+00
NGC6333_2016-04-02,7.862e+00 $\pm$ 1.118e+00,-2.029e+00 $\pm$ 0.000e+00,8.993e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,1.207e+01 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,5.798e+00 $\pm$ 0.000e+00,-1.499e+00 $\pm$ 0.000e+00,6.860e+00 $\pm$ 0.000e+00,-1.466e+00 $\pm$ 0.000e+00
NGC6342_2015-08-10,8.851e+00 $\pm$ 2.021e+00,-9.448e-01 $\pm$ 7.797e-02,2.321e+00 $\pm$ 2.209e+00,-8.217e-01 $\pm$ 1.127e-01,1.077e+01 $\pm$ 4.332e-02,-1.006e+00 $\pm$ 0.000e+00,5.153e+00 $\pm$ 1.376e+00,-3.340e-01 $\pm$ 1.103e-01,1.078e+01 $\pm$ 0.000e+00,-6.881e-01 $\pm$ 0.000e+00
NGC6352_2015-07-09,1.272e+01 $\pm$ 0.000e+00,-3.070e-01 $\pm$ 0.000e+00,3.924e+00 $\pm$ 4.072e+00,-6.928e-01 $\pm$ 9.928e-02,1.025e+01 $\pm$ 2.729e+00,-5.343e-01 $\pm$ 0.000e+00,1.001e+01 $\pm$ 4.730e-01,-4.630e-01 $\pm$ 9.492e-03,7.020e+00 $\pm$ 1.200e-01,-4.689e-01 $\pm$ 1.304e-02
NGC6356_2016-04-01,3.433e+00 $\pm$ 5.160e-01,-5.127e-01 $\pm$ 3.101e-01,8.913e-01 $\pm$ 0.000e+00,-7.090e-01 $\pm$ 0.000e+00,3.967e+00 $\pm$ 1.213e+00,-6.771e-01 $\pm$ 6.603e-01,3.003e+00 $\pm$ 0.000e+00,-3.629e-01 $\pm$ 0.000e+00,4.980e+00 $\pm$ 2.000e-01,-5.033e-01 $\pm$ 1.410e-02
NGC6362_2015-08-11,1.027e+01 $\pm$ 3.225e+00,-1.077e+00 $\pm$ 0.000e+00,2.018e+00 $\pm$ 0.000e+00,-6.928e-01 $\pm$ 0.000e+00,3.014e+00 $\pm$ 5.632e-01,-6.928e-01 $\pm$ 0.000e+00,6.873e+00 $\pm$ 0.000e+00,-1.006e+00 $\pm$ 1.390e-01,1.286e+01 $\pm$ 0.000e+00,-5.033e-01 $\pm$ 0.000e+00
NGC6388_2015-04-13,1.412e+00 $\pm$ 0.000e+00,-1.493e-01 $\pm$ 0.000e+00,8.046e-01 $\pm$ 0.000e+00,-6.771e-01 $\pm$ 0.000e+00,8.913e-01 $\pm$ 0.000e+00,-3.070e-01 $\pm$ 0.000e+00,9.238e+00 $\pm$ 8.600e-01,-6.333e-01 $\pm$ 9.897e-02,7.860e+00 $\pm$ 9.200e-01,-5.033e-01 $\pm$ 7.225e-03
